Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.06,-.01,-.12,-.24,-.16,.07,-.04,-.14,.01,.06,-.04,***,***,-.02,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.07,-.02,-.04,.00,.01,.10,.01,.01,-.02,.10,-.04,-.01
1882,.07,.08,.08,-.01,-.03,-.15,-.04,.02,-.04,.04,.00,-.06,.00,.01,.08,.01,-.06,.00
1883,-.01,-.07,-.08,-.06,-.09,-.02,-.08,-.05,-.10,-.06,-.03,-.05,-.06,-.06,-.05,-.08,-.05,-.06
1884,-.08,-.05,-.10,-.21,-.31,-.29,-.21,-.06,-.11,-.06,-.09,-.14,-.14,-.13,-.06,-.20,-.19,-.09
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.19,-.12,-.10,-.09,-.24,-.24,-.18,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.31,-.21,-.18,-.14,-.23,-.14,-.28,-.19,-.18,-.14,-.17,-.23,-.17
1887,-.36,-.43,-.27,-.30,-.34,-.27,-.26,-.16,-.29,-.22,-.24,-.22,-.28,-.29,-.36,-.30,-.23,-.25
1888,-.20,-.12,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.06,.07,.15,-.11,-.15,-.18,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.13,-.07,-.19,-.17,-.10,-.05,-.03,-.04,-.02,.09,.06,-.13,-.11
1890,-.20,-.32,-.33,-.34,-.43,-.32,-.32,-.38,-.38,-.39,-.24,-.16,-.32,-.31,-.18,-.37,-.34,-.34
1891,-.20,-.25,-.20,-.19,-.17,-.28,-.22,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.20,-.18,-.24,-.16
1892,-.08,-.05,-.13,-.21,-.22,-.38,-.25,-.21,-.13,.00,-.02,-.11,-.15,-.14,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.11,-.23,-.23,-.32,-.13,-.16,-.16,-.08,-.02,-.02,-.15,-.15,-.13,-.19,-.20,-.08
1894,-.13,-.15,-.23,-.34,-.34,-.39,-.25,-.20,-.22,-.17,-.02,-.05,-.21,-.20,-.10,-.30,-.28,-.14
1895,-.12,-.05,-.15,-.24,-.23,-.20,-.14,-.05,-.18,-.11,-.19,-.05,-.14,-.14,-.07,-.21,-.13,-.16
1896,-.08,-.07,-.03,-.01,-.14,-.28,-.04,.01,-.01,.09,.13,.13,-.03,-.04,-.06,-.06,-.11,.07
1897,.10,.08,.12,.01,-.16,-.16,-.08,-.11,-.10,-.09,-.09,-.12,-.05,-.03,.10,-.01,-.12,-.09
1898,-.09,-.16,-.23,-.33,-.33,-.30,-.33,-.36,-.25,-.32,-.25,-.20,-.26,-.25,-.12,-.30,-.33,-.27
1899,-.19,-.13,-.14,-.17,-.21,-.27,-.15,-.10,-.05,-.12,-.09,-.05,-.14,-.15,-.17,-.17,-.17,-.09
1900,-.10,.03,-.04,-.07,-.13,-.09,-.13,-.07,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.10,-.02
1901,-.10,-.12,-.14,-.15,-.18,-.24,-.28,-.24,-.17,-.26,-.12,-.14,-.18,-.17,-.11,-.15,-.25,-.18
1902,-.18,-.14,-.17,-.17,-.24,-.22,-.22,-.30,-.24,-.26,-.25,-.22,-.22,-.21,-.15,-.20,-.25,-.25
1903,-.24,-.22,-.30,-.35,-.36,-.39,-.27,-.35,-.50,-.47,-.43,-.46,-.36,-.34,-.23,-.34,-.34,-.47
1904,-.50,-.55,-.55,-.50,-.59,-.48,-.41,-.42,-.47,-.37,-.25,-.30,-.45,-.46,-.50,-.55,-.44,-.36
1905,-.26,-.34,-.19,-.20,-.28,-.27,-.30,-.16,-.16,-.20,-.19,-.06,-.22,-.24,-.30,-.22,-.24,-.19
1906,.03,-.03,-.15,-.13,-.25,-.26,-.17,-.21,-.31,-.22,-.33,-.32,-.20,-.18,-.02,-.18,-.22,-.29
1907,-.26,-.28,-.23,-.27,-.33,-.31,-.28,-.27,-.27,-.24,-.35,-.34,-.29,-.28,-.29,-.28,-.29,-.29
1908,-.33,-.37,-.39,-.40,-.45,-.45,-.34,-.34,-.40,-.42,-.40,-.42,-.39,-.38,-.35,-.41,-.38,-.41
1909,-.49,-.45,-.40,-.51,-.58,-.50,-.44,-.31,-.40,-.45,-.51,-.54,-.46,-.46,-.46,-.50,-.42,-.45
1910,-.48,-.44,-.52,-.43,-.37,-.31,-.29,-.32,-.33,-.49,-.51,-.51,-.42,-.42,-.49,-.44,-.31,-.45
1911,-.51,-.54,-.56,-.60,-.57,-.66,-.45,-.43,-.42,-.31,-.20,-.09,-.44,-.48,-.52,-.57,-.51,-.31
1912,-.13,-.10,-.13,-.17,-.27,-.31,-.30,-.29,-.33,-.28,-.23,-.28,-.23,-.22,-.11,-.19,-.30,-.28
1913,-.23,-.23,-.37,-.27,-.31,-.38,-.19,-.20,-.25,-.23,-.22,-.13,-.25,-.26,-.25,-.32,-.26,-.23
1914,-.06,-.07,-.11,-.18,-.21,-.26,-.12,-.04,-.02,-.03,-.06,.00,-.10,-.11,-.09,-.17,-.14,-.04
1915,-.12,.04,.06,.08,-.08,-.28,-.12,-.26,-.18,-.20,-.21,-.16,-.12,-.11,-.03,.02,-.22,-.19
1916,-.14,-.11,-.16,-.25,-.31,-.47,-.40,-.19,-.23,-.31,-.46,-.50,-.29,-.27,-.14,-.24,-.35,-.33
1917,-.62,-.58,-.53,-.45,-.37,-.37,-.17,-.05,-.14,-.26,-.34,-.27,-.35,-.37,-.57,-.45,-.20,-.25
1918,-.26,-.22,-.24,-.29,-.36,-.27,-.27,-.25,-.08,-.05,.03,.00,-.19,-.21,-.25,-.30,-.26,-.03
1919,.00,-.05,-.02,-.01,-.13,-.31,-.24,-.36,-.30,-.29,-.33,-.27,-.19,-.17,-.02,-.05,-.30,-.31
1920,-.32,-.22,-.23,-.26,-.31,-.43,-.33,-.19,-.07,-.12,-.07,-.19,-.23,-.23,-.27,-.27,-.32,-.09
1921,-.27,-.26,-.35,-.42,-.34,-.37,-.25,-.21,-.19,-.04,-.15,-.20,-.25,-.25,-.24,-.37,-.28,-.13
1922,-.27,-.25,-.18,-.29,-.46,-.45,-.27,-.29,-.28,-.32,-.16,-.23,-.29,-.28,-.24,-.31,-.33,-.26
1923,-.36,-.31,-.28,-.28,-.27,-.33,-.32,-.37,-.43,-.31,-.18,-.16,-.30,-.31,-.30,-.28,-.34,-.31
1924,-.15,-.24,-.17,-.32,-.29,-.31,-.34,-.45,-.41,-.46,-.51,-.49,-.35,-.32,-.18,-.26,-.37,-.46
1925,-.49,-.42,-.32,-.34,-.35,-.37,-.26,-.19,-.32,-.23,-.10,-.07,-.29,-.32,-.47,-.34,-.27,-.22
1926,-.10,-.11,-.14,-.10,-.21,-.28,-.32,-.18,-.23,-.26,-.26,-.27,-.20,-.19,-.09,-.15,-.26,-.25
1927,-.24,-.26,-.29,-.33,-.37,-.40,-.29,-.30,-.26,-.24,-.18,-.25,-.28,-.29,-.26,-.33,-.33,-.22
1928,-.27,-.25,-.25,-.22,-.40,-.43,-.27,-.25,-.26,-.28,-.21,-.28,-.28,-.28,-.26,-.29,-.32,-.25
1929,-.32,-.36,-.46,-.46,-.47,-.46,-.37,-.43,-.29,-.26,-.17,-.40,-.37,-.36,-.32,-.46,-.42,-.24
1930,-.47,-.34,-.32,-.33,-.28,-.31,-.36,-.29,-.27,-.23,-.07,-.16,-.29,-.31,-.40,-.31,-.32,-.19
1931,-.18,-.15,-.12,-.23,-.22,-.29,-.14,-.16,-.29,-.25,-.35,-.20,-.21,-.21,-.16,-.19,-.19,-.30
1932,-.09,-.15,-.15,-.21,-.24,-.42,-.34,-.35,-.30,-.31,-.21,-.30,-.26,-.25,-.15,-.20,-.37,-.27
1933,-.27,-.27,-.27,-.31,-.31,-.36,-.30,-.33,-.31,-.33,-.37,-.35,-.32,-.31,-.28,-.30,-.33,-.34
1934,-.30,-.40,-.33,-.33,-.27,-.28,-.17,-.14,-.16,-.25,-.20,-.22,-.25,-.26,-.35,-.31,-.20,-.20
1935,-.26,-.30,-.32,-.38,-.29,-.38,-.38,-.36,-.35,-.21,-.18,-.16,-.30,-.30,-.26,-.33,-.37,-.25
1936,-.25,-.24,-.29,-.33,-.31,-.47,-.28,-.28,-.24,-.12,-.12,-.17,-.26,-.26,-.22,-.31,-.34,-.16
1937,-.24,-.18,-.17,-.24,-.22,-.24,-.21,-.11,-.10,-.15,-.07,-.14,-.17,-.18,-.20,-.21,-.19,-.11
1938,-.19,-.21,-.15,-.20,-.22,-.28,-.18,-.21,-.16,-.04,-.17,-.13,-.18,-.18,-.18,-.19,-.22,-.13
1939,-.15,-.13,-.12,-.13,-.10,-.14,-.15,-.18,-.26,-.15,-.09,.10,-.13,-.15,-.14,-.12,-.16,-.17
1940,.12,.04,.17,.09,.07,.07,.10,.08,.08,-.03,.07,.29,.09,.08,.09,.11,.08,.04
1941,.20,.17,.10,.23,.14,.08,.21,.13,-.03,.23,.29,.26,.17,.17,.22,.16,.14,.16
1942,.19,.14,.12,.10,.06,.00,.01,.00,-.16,-.25,-.08,-.04,.01,.03,.19,.09,.00,-.17
1943,.07,-.05,-.08,-.10,-.10,-.04,.18,-.08,-.03,.00,.04,.08,-.01,-.02,-.01,-.09,.02,.00
1944,.08,.05,.21,.21,.14,.16,.23,.22,.20,.08,.03,.09,.14,.14,.07,.19,.20,.11
1945,.10,.08,.03,.10,.05,-.05,.02,.24,.21,.14,.07,.09,.09,.09,.09,.06,.07,.14
1946,-.03,-.03,-.09,-.20,-.17,-.37,-.21,-.31,-.12,-.17,-.18,-.15,-.17,-.15,.01,-.15,-.30,-.16
1947,-.08,-.12,-.16,-.11,-.09,-.03,-.05,-.10,-.23,-.26,-.15,-.22,-.13,-.13,-.11,-.12,-.06,-.21
1948,-.18,-.14,-.21,-.20,-.17,-.15,-.23,-.26,-.26,-.18,-.28,-.08,-.20,-.21,-.18,-.20,-.21,-.24
1949,-.10,-.19,-.08,-.18,-.20,-.34,-.15,-.21,-.19,-.20,-.25,-.22,-.19,-.18,-.12,-.15,-.23,-.21
1950,-.24,-.26,-.21,-.20,-.19,-.06,-.01,-.12,-.15,-.35,-.34,-.31,-.20,-.20,-.24,-.20,-.06,-.28
